company name,website,linkedin
Thinking Machines Lab,https://thinkingmachines.ai/,https://www.linkedin.com/company/thinkingmachinesai/
SSI (Safe Superintelligence),https://ssi.inc/,https://www.linkedin.com/company/ssi-ai
Skild AI,https://www.skild.ai/,https://www.linkedin.com/company/skild-ai/
Poolside,https://www.poolside.ai/,https://www.linkedin.com/company/poolsideai
Reflection AI,https://reflection.ai/,https://www.linkedin.com/company/reflectionai/
Project Prometheus,https://www.linkedin.com/company/prometheus,https://www.linkedin.com/company/prometheus
Physical Intelligence,https://www.pi.website/,https://www.linkedin.com/company/physical-intelligence
Unconventional AI,https://unconv.ai/,https://www.linkedin.com/company/unconvai
Humans&,https://humansand.ai/,https://www.linkedin.com/company/humansand
Inflection AI,https://inflection.ai/,https://www.linkedin.com/company/inflectionai
Isomorphic Labs,https://www.isomorphiclabs.com/,https://www.linkedin.com/company/isomorphic-labs
AMI Labs,https://amilabs.xyz/,https://www.linkedin.com/company/amilabs-xyz/
Decart,https://decart.ai/,https://www.linkedin.com/company/decart-ai
Xaira Therapeutics,https://www.xaira.com/,https://www.linkedin.com/company/xaira-therapeutics
Sakana AI,https://sakana.ai/,https://www.linkedin.com/company/sakana-ai/
General Intuition,https://www.generalintuition.com/,https://www.linkedin.com/company/generalintuition
Liquid AI,https://www.liquid.ai/,https://www.linkedin.com/company/liquid-ai-inc
H (The H Company),https://hcompany.ai/,https://www.linkedin.com/company/h-company-ai
Magic,https://magic.dev/,https://www.linkedin.com/company/magicailabs
Periodic Labs,https://periodic.com/,https://www.linkedin.com/company/periodic-labs
Harmonic,https://www.harmonic.fun/,https://www.linkedin.com/company/harmonicmath
AI21 Labs,https://www.ai21.com/,https://www.linkedin.com/company/ai21
Lila Sciences,https://www.lila.ai/,https://www.linkedin.com/company/lila-sciences
Chai Discovery,https://www.chaidiscovery.com/,https://www.linkedin.com/company/chaidiscovery
Flapping Airplanes,https://flappingairplanes.com/,https://www.linkedin.com/company/flapping-airplanes
Recursive,https://www.recursive.com/,https://www.linkedin.com/company/recursive-si
World Labs,https://www.worldlabs.ai/,https://www.linkedin.com/company/world-labs
EvolutionaryScale,https://www.evolutionaryscale.ai/,https://www.linkedin.com/company/evolutionaryscale
AAI,https://www.doubleai.com/,https://www.linkedin.com/company/doubleai/
Kyutai,https://kyutai.org/,https://www.linkedin.com/company/kyutai-labs/
Goodfire,https://www.goodfire.ai/,https://www.linkedin.com/company/goodfire-ai/
Imbue,https://imbue.com/,https://www.linkedin.com/company/imbue-ai
Reka,https://reka.ai/,https://www.linkedin.com/company/reka-ai
Essential AI,https://www.essential.ai/,https://www.linkedin.com/company/essentialai
Zyphra,https://www.zyphra.com/,https://www.linkedin.com/company/zyphra/
Nous Research,https://nousresearch.com/,https://www.linkedin.com/company/nousresearch/
Simile,https://simile.ai/,https://www.linkedin.com/company/simile-ai-inc/
Isara,https://www.isara.ai/,https://www.linkedin.com/company/isara-ai
Moonvalley,https://www.moonvalley.com/,https://www.linkedin.com/company/moonvalley-ai/
Hark,https://hark.com/,https://www.linkedin.com/company/hark-ai
Ndea,https://ndea.com/,https://www.linkedin.com/company/ndea
Inception Labs,https://www.inceptionlabs.ai/,https://www.linkedin.com/company/inception-labs-ai/
Adaption Labs,https://adaptionlabs.ai/,https://www.linkedin.com/company/adaption-labs
Elorian,https://elorian.ai/,https://www.linkedin.com/company/elorian-ai
Genesis AI,https://www.genesis.ai/,https://www.linkedin.com/company/gs-ai
CuspAI,https://www.cusp.ai/,https://www.linkedin.com/company/cusp-ai
Poetiq,https://poetiq.ai/,https://www.linkedin.com/company/poetiq
Axiom Math,https://axiommath.ai/,https://www.linkedin.com/company/axiommath
Ineffable Intelligence,https://www.ineffable.ai/,https://www.linkedin.com/company/ineffable-intelligence/
Cursive,https://www.cursive.ai/,https://www.linkedin.com/company/cursive-ai/
Inherent,https://inherentlabs.ai/,https://www.linkedin.com/company/inherent-laboratories
Applied Compute,https://www.appliedcompute.com/,https://www.linkedin.com/company/appliedcompute
Core Automation,https://www.coreauto.com/,
